order_id,Actual_Delivery_Days,Estimated_Delivery_Days
0x00229E4E43F7A7E0B9DD819AD43268D3,5,26
0x0025081DCF9330F9A5052AE82C6CE396,9,21
0x00254BAEB6C932B0A8AEEAD91FBD02B5,22,28
0x00259A44FCAD3FC0474329E925D14FC3,8,26
0x0025C5D1A8CA53A240EC2634BB4492EA,23,26
0x002611A77FE03D076285FD4CA95DB77C,21,25
0x002691433F09002AC9CA0C4E8DBB8EAD,5,29
0x0026A368634B6E6F34F33B1499773A30,11,35
0x00275BCE676303C3BFD7292AEFDFA223,6,16
0x00276D5C3491FBF55305E26891040DF9,31,37
0x002834535F7A609A5C68266F173FA59E,14,17
0x0028DE0CA693A1BB26448916A81105CC,11,25
0x002955B0ACC63D04F6724A31967E82BD,8,29
0x0029C5DB35EF291CE99D1262012E7DAA,2,6
0x0029F17CF0E7640C5CB6825AF681303F,8,20
0x002AF7FA9EB99D1456BCEB6A13D6FC0B,22,25
0x002B430FF89B3A24C31A1170ACBBEDEA,9,22
0x002B4E6FA42CD4A22CC86ABC18FE9C05,8,26
0x002C9DEF9C9B951B1BEC6D50753C9891,3,10
0x002D040018D12A3853C059F7F23AB5B1,6,17
0x002F16B7BC4530031B7D90F791B12D8A,4,23
0x002F98C0F7EFD42638ED6100CA699B42,3,32
0x0030D783F979FBC5981E75613B057344,43,21
0x0030FF924C38549807645976ADEEF2C0,22,26
0x00324B3EDA39BA5ECCE3945823E3594C,22,19
0x0032D07457AE9C806C79368D7D9CE96B,50,38
0x003324C70B19A16798817B2B3640E721,12,20
0x00335B686D693C7D72DEEB12F8E89227,55,23
0x00335F75EA6A4455B524A8DD177067F5,8,33
0x00337FE25A3780B3424D9AD7C5A4B35E,2,15
0x003423B755B562962A6225A8DE40D12E,14,29
0x00345F338696283410B7977D2E3EFC89,10,22
0x0035246A40F520710769010F752E7507,11,20
0x0035C0B07126FE9C24A325216FB96064,13,40
0x0035E6B7ADE84B3F5B86BD49814793DF,5,20
0x0036757472ECE3DDE52FD4BFD929C90E,21,32
0x0036887767DEA4BD43B1A88CD0D9477A,9,18
0x00378C6C981F234634C0B9D6128DF6DD,24,24
0x003822434F91204DA0A51FE4CF2ABA18,4,35
0x0039500DB36D50D7D0BFAF23723550F3,15,28
0x003A7F59D7E08A9C61D9E2881FE6459C,7,9
0x003A94F778EF8CFD50247C8C1B582257,21,12
0x003CC6161D7A2593F2525CCE0C330D32,4,5
0x003D0634280FF3D1D3A54459349A6899,10,12
0x003D804EEF0E1B856881CD18E0CC0D4C,53,30
0x003D9FC84AD902ADF2265248B5FFE1A4,7,16
0x003EDCCF16BC5EC447F592913B3DF2B4,26,27
0x003F201CDD39CDD59B6447CFF2195456,35,29
0x003F9BCC09427647C4B9D361A523545B,2,16
0x00404FA7A687C8C44CA69D42695AAE73,9,15
0x0040A56893444CB56CBA7CFE2225E34E,22,29
0x004157DAAFA0BC8672E01F00E4F0C04F,12,36
0x00418A49A685C6BB60633291C3FAB17A,2,16
0x004345D16A1AB2C21962992C721C8643,6,25
0x0044C6F6D22DD280534344177C81B989,17,25
0x0045E3085F083F0F38D24BB3F22E6593,18,19
0x0045F5225A96EF46630701167528FDCB,6,22
0x0046176FF0DBC2A178B7885355DFBB71,6,31
0x0046E1D57F4C07C8C92AB26BE8C3DFC0,3,15
0x00471463A6106056C1A2A809F70DE640,21,29
0x00482F2670787292280E0A8153D82467,1,24
0x0049EDF42837AA808E03552A62BD2158,31,33
0x004B62108B876867938746AD3154167F,8,14
0x004BA47BB589CDBC485E6025BD6D3C81,4,25
0x004CA5AE248069D68E8594DF8ABF6CE0,9,50
0x004D76FEF3DD46EB4F70DA049C8D1F93,6,26
0x004EAB0FD8F28ADAF8D488976F77FEBE,1,13
0x004F5D8F238E8908E6864B874EDA3391,23,21
0x004FB11815BC03B01B20A614EEF69D14,21,31
0x004FB5E6F90A178DC74AD2B016649249,5,22
0x005059EDEE63C8C708BA61910793B31B,13,28
0x00526A9D4EBDE463BAEE25F386963DDC,9,8
0x0055B77CCA3186676C147F532DD2547B,16,23
0x0057199DB02D1A5EF41BACBF41F8F63B,17,31
0x00571DED73B3C061925584FEAB0DB425,12,25
0x00584D79015452D19FD3D044BA3ABDC0,3,19
0x00588F5F20FEE630B83D4709E0A42715,11,41
0x005997DCA4C1FC45066D0A03D54A6469,3,16
0x005A1DDED353107DBABF8FFC83A20365,21,26
0x005B49DE51A4E006055E8487A50AD8E4,18,25
0x005CAD6157EADC7F1F09917607F1704A,17,24
0x005D9A5423D47281AC463A968B3936FB,9,30
0x005E5166E99D1E4D0C4F808B0540BA94,32,20
0x005F25968FC854EA16FB16F5BDBC87C7,16,19
0x00602F25BFFA1DCFB71E202FBF9824FB,25,39
0x00611822267E76E0055C25C18506F06E,5,25
0x006127B8B9A1681A982313ED7129C3C0,11,17
0x0064D74F7DE7917D54768D7722AD56AC,4,18
0x006557C3221C1FCD02B0106343AB357B,7,28
0x00664284DE7A3470D22931ED78615EE4,9,23
0x0066A1FDAEE16AD5022C5EF979D0B661,6,36
0x0067C6030D65AF0FF98790158DDB0020,10,19
0x0068468C453D28C8EF3FD089E50A5847,19,25
0x00685D31AE12E47470BA5C18BA74F22C,38,30
0x0068C109948B9A1DFB8530D1978ACEF3,15,27
0x0068E836900867DA359BD81DB9227A33,5,24
0x0068FB0E223115E911D362627E8B8800,6,27
0x006C42F310102C1910B3C5793CE5FC34,9,14
0x006CB7CAFC99B29548D4F412C7F9F493,8,24
0x006CBA07F62F921FE4F58365BDE2B2EB,4,28
0x006DD93155BC2ABD844CC5EED3A0FE7F,5,32
0x006DF90050498994D670B40DA4651D22,2,4
0x006E05E81C068DDC38E48EBE189B922E,7,28
0x006E43460A55BC60C0A437521E426529,8,22
0x006E91DDB0674525F84CE0DA0655C7BA,6,16
0x006F7DFFFE2D90809598E8F1972B829B,14,20
0x0070092BB6004FAAFA287E5FC35971E9,2,20
0x0071EE2429BC1EFDC43AA3E073A5290E,9,24
0x0072847849EAFE70995FA51A714C81AC,7,14
0x00750F68BB64537034E93554C64B41B5,2,15
0x00756576F4E494406945AC21CB82CFE0,9,23
0x00772B2AF35643653F108FDAC1155EE3,12,18
0x00789CE015E7E5791C7914F32BB4FAD4,19,22
0x0078A358A14592B887EB140EF515F5AB,15,23
0x0079BCA8E89BD52FDB87408E4F3FB94D,3,13
0x007BBB40C95870C0F75A7855F2636C65,2,13
0x007BEB35F98C075747E6FC4FD1C0CB73,11,27
0x007C7CB12EF3567531307CA78D395758,20,24
0x007EC946D4F798CAF2B43C9D44C56421,11,31
0x007FF0B0F79BE782F633FC3B18CBE337,11,27
0x0080EEBB288DBA1857CCF048DFE6BDFE,6,25
0x0081AB2C99DC85945C28926B77DC6960,3,13
0x0081CE648AF7D6A7BAC2A93B6035D1E3,13,22
0x0084209C576DAAD6FF4534902FCB4892,13,22
0x0084E195FBD72AE51599AF47F04AFEDE,50,26
0x00858D03144CC35CFD1DD043647E7C88,8,42
0x008720830A8A30E39E6F22F81818A141,5,12
0x0087889A1C836BE17F58AFD7F1729A4A,1,11
0x008819C6D5F6DA6FA5CD9D50CA927CF4,3,5
0x00891BA5DE66F55000EE358CEEA9B345,9,24
0x008990DA719764FB392914D8AB53AD04,25,39
0x008A1B3DB2A8BF63418C2CF7C7F494B1,31,21
0x008A40C2B8B21893E04945CE58854B55,9,29
0x008C3A655C66F4D92370D0D422732F69,3,9
0x008CE8764DB2E397E153000E017475B6,5,10
0x008CFE221AB054C89BC31720098CCA51,6,12
0x008D9BF350FF02ED444B3452CF3F57E0,9,37
0x008DC31C0AE7121F2791953AE5F532C3,23,30
0x008DD5E80EBF8F849AA0C5BF4E22CE7A,1,11
0x008EAF9004164883520D0BD32B107261,9,27
0x008F831B7185CFF7AB35A46C37D64CD2,7,25
0x008FAB5602C441D51F30B1464F5D4643,9,29
0x0091A677651FEAF5A08D7BB147681E14,4,7
0x00921E4911895B93C7B4FC0D80C0815E,7,12
0x0093CBF16A6AFB7F0AB7CC821B6F9E92,14,27
0x00946F674D880BE1F188ABC10AD7CF46,8,27
0x00949655CDD8D0465E433A5E6C9643E5,1,8
0x0094BD07F49FED90209FFA62D1EF26D6,13,11
0x0094D4660E323945F84F5C29EB348AAE,12,30
0x0094DC9EA7E3CD54D95AEA42685673FF,7,23
0x0095790A64527EC83AEAAF99023C050E,22,26
0x0096668E5B0B8E9657A6F7209A4E58B4,68,8
0x009742B43F4530BC3DB7F62332C50F4B,41,15
0x00975E709CD12C34D3BD44E4A7F7A876,2,16
0x0097AAFE2A01DD54E39888976160C377,3,4
0x0097F0545A302AAFA32782F1734FF71C,16,16
0x009838529BB913846AB6670D22865381,12,33
0x0098DBDA25722A3F019FE252A0CD10B3,11,20
0x009905140E9F8CC35D5BE897937381DB,13,27
0x00995D799817ECC3BD2ABD8FBE59C430,7,13
0x00998F38DF3012359EF195CA75EBB329,7,28
0x009AC365164F8E06F59D18A08045F6C4,6,20
0x009C278FA2ED6E7EC498200B60193CA8,20,29
0x009E11AFA25AA95AE78E60A793995C9B,11,49
0x009FA9BD0D92710E840793BFEFA80867,21,24
0x00A0116FF15FF973EA16BEE881208AE7,13,25
0x00A12754417A49A9DEC20361849AA917,2,8
0x00A13AB02FBE82F78CD84F14E41564ED,5,19
0x00A174DBF11967D260033FA6AB711493,22,23
0x00A1E977CF6E672402963940DB55D919,2,8
0x00A250DBDB3153CC6ECF4D3F07EF6A17,4,19
0x00A379DFAB816A83741012B71B264098,7,5
0x00A3A334AEC7455A6D3319981499A3DA,9,18
0x00A3F1EF430D3984DECE2F39D6CBF431,19,19
0x00A4D94DF1C9757661679B2F4BD6D311,10,25
0x00A57DFBB049FBAAE10763E2CF15F797,9,23
0x00A690BECDA145533FA5A54DAA7B6AD5,16,30
0x00A77F9CC25B05B2004752593D7B8888,15,22
0x00A843F5A80C7AEA894C558ACC29F513,9,25
0x00A870C6C06346E85335524935C600C0,7,14
0x00A9536682ECB394A3794C1608200803,10,19
0x00AA423621F35A9CA6C6240F275B0640,11,20
0x00AB1ABA567DFEBDC39CAA4E7CA2F1B2,11,32
0x00AB210695A17FE10E6B23616AE5BC97,7,14
0x00AB3A43BDA739029FFCE95D3B2FB56C,3,4
0x00AB9FA91AAFA3D881164B0DA48999AA,12,31
0x00AC05FE0FC047C54418098EB64E3AAA,12,26
0x00AC2A1EC784F71FEEB7BA1E5959750D,11,31
0x00ACE652C8A5072670F30674E5F19844,30,45
0x00AD1A02D4D9DECAD15C7E8F8A9470CC,13,31
0x00AF3D9DDFF7F256E83D79247DBE1A9F,14,33
0x00AF53FDC2002F5B6A8F16DB648E003B,13,20
0x00B12F4674177EF40C4BDB034138C843,5,18
0x00B1861AEB89AFA498404C684148A619,7,16
0x00B2D2F2B5F7B98E6B1828764660134E,6,21
0x00B30BB163474583C14DB1689259CF4D,17,33
0x00B402E8A76D3DA83714C52D3977CC2D,18,30
0x00B44BA3D7C4A5E9A9EBAFEF9150781D,2,29
0x00B47EE856118583DBEC7D1F9B18D847,14,18
0x00B4846D477A7BAF5D4E47970BC08C7E,7,24
0x00B4A910F64F24DBCAC04FE54088A443,8,41
0x00B4C651133C06FB175123A492F1CAC3,6,11
0x00B5E1C770B1868EC1B6B726BE3AA9B9,8,23
0x00B676B01C289CC661C6F7732492771A,13,22
0x00B6C055922E0ED2D88EFDD252B2FB64,6,15
0x00B6E66F005A657A6B13EEDCACDF9342,10,20
0x00B7174EA52BB811EBE2663ADD51AFC0,5,23
0x00B8D354B36820E9D6131FD5173C5581,9,22
0x00B9E0F8F588D0406A3DE447EB606970,24,22
0x00BA414462370AF2D76195D12E0D5481,16,33
0x00BA57AE98928DF6BA6EC9D3D8D4B1B7,10,24
0x00BBC4179554524748F77763DDD62266,4,13
0x00BC78808B22918A467B2FA4B8EF5D68,9,22
0x00BCEE890EBA57A9767C7B5CA12D3A1B,5,30
0x00BD2CB7E9076E1CCC9F766FC01A4CFD,12,35
0x00BD50CDD31BD22E9081E6E2D5B3577B,7,15
0x00BD8CF08FA3998EA6AD6D16C2165822,4,25
0x00BDCDDA88E6B02977FC6CE3D412C600,6,42
0x00BDEBEFEB760588A3425FAD9DFED3D9,6,18
0x00BEB247698C6AAE94E3F859D279E2CD,3,16
0x00BF1320FFB5FE47A845FECA16C0E0B4,35,27
0x00C00D5B36157595E21108BA1DA2828F,21,14
0x00C2335723B9B74668062E946DC66621,6,26
0x00C405BD71187154A7846862F585A9D4,8,25
0x00C42B1633C1B2FA4E937BF312466561,26,33
0x00C47CFA491EF55779EC7557673087FC,2,14
0x00C47FEFB9A49BAEC12AB3654D7F548E,41,56
0x00C4F17DCB94448F27A2CBAA83F10A4B,4,11
0x00C62D05602C1CA8164B98746D127FA8,7,37
0x00C763284C0056EED753352F5559FF0A,12,33
0x00C81B6675EF9ECAAFF5FC1D6720B96C,6,21
0x00C826C901AB01B6F598A8F0C9B56B82,12,28
0x00C842D0AE6462AFC1D38FC055B02C75,13,21
0x00C8BE06A8029E300DABD52C7D4C6AD2,16,26
0x00C8BFBB0A1224DCDB0180A544247159,4,17
0x00C9474E0334F7A4FFC8C3A8BD21A51E,11,12
0x00C95282163553A982F38481F9488481,8,28
0x00C9D0257381C7E9EC13B4505F25B2CF,9,30
0x00C9D9E61ED13F5BF2F0344DA1AA4775,10,21
0x00C9F7D4B0E87781465E562DC109F6AA,9,29
0x00CB18DB3D9C03F8386E7FC70CAD2504,7,22
0x00CB9736C0B43D6C1E2FBB2B88E69F6A,18,35
0x00CE92D57F4F9A112BDB8A2A283E5F97,8,27
0x00CEDA91CB2DED8570CA73E70571740A,10,28
0x00CEE8A4DBB042385CBBD84699E78B2E,5,12
0x00CF2B04C59F0ECAF822BF3F334D5C3B,12,19
0x00CF47526E0F7920B381B2BAF4ECF1C7,7,36
0x00CFABBE2A93B70BEEEC4894F86712A8,9,22
0x00D03EB3425F41A599AE2F788E23C07F,51,40
0x00D0FF2017F9EA13DD7EEC7470CA473A,7,28
0x00D1289D5125017A90E528B5A7CEE91F,96,22
0x00D15FF0236872686E4899ED1CE680AD,12,21
0x00D1E381C0995F0BDB95909FE7434D0B,8,19
0x00D2559E61B9A0744A0552C35C5ECCCB,7,17
0x00D29386638BBFD1331A2CD7AB91B5B5,8,22
0x00D4439957B7FD3F8DA4A33A965817FB,14,22
0x00D50BAF1BC56A3C59DE1810A6B84B0D,36,31
0x00D5FAC7792747FBA4B528F23930BEBD,8,21
0x00D831D5C3EA03B7CD6F883AD799C7E4,5,14
0x00D85BFE0E28C91B69D0FE1F29255A31,5,19
0x00D88C00221CE96A1CFCACA9F2FCEB3B,22,22
0x00D8D65B666158B633F96054D31AF43B,21,21
0x00D94E8901B75EE0D6EF1F87F947B666,22,35
0x00D9AC423C9AD6781C0ED04E87666691,21,31
0x00DC6AD47477B3B62D3C0ACBE98A82A4,19,31
0x00DF27E666004DB9F14BCE766FA5327C,5,19
0x00DFB074B5C910FBD08E04691C4B712F,7,32
0x00E054D0DA011D5016F31011AF488F4F,58,17
0x00E0BAC9F6306D8269770ACF4EE4B027,21,23
0x00E1426D4C79F2E022570012C1FF57ED,14,26
0x00E1BDB3F1388C8ED222597EE4FA01E7,7,21
0x00E32E413E017E64FF93A9E800B8E1BE,7,23
0x00E365F4FC03D1098841AF23D05C17A6,9,21
0x00E4050FE32E786290A29C61141E979F,12,37
0x00E5B655DF1CC911466758210325C67C,11,24
0x00E63486FAD9D24645C9C84ED77C15FA,6,27
0x00E6786FEE8F476835C151A4D3FA9BF1,11,26
0x00E6BC6B166EB28B4502C1CAD4457248,4,29
0x00E7AECED1D61792368EC7BF8B967A90,20,33
0x00E7EE1B050B8499577073AEB2A297A1,9,20
0x00EA33F994BEC0BBFDA582074083AE12,7,23
0x00EA690FE8C5EBA029A3884243A02352,22,30
0x00EB7B95AF5ED25AAEC66D4FF5295846,11,35
0x00EC95A58B63378D4CC06D196CDEFDF6,10,26
0x00ED64BC080D87B4AB7F0C433BC5E98F,7,22
0x00EEAD1D5A799277EF3D6B387B0BEBEF,3,10
0x00EEF7FE9E315A85D1A61A50CCCB2494,13,24
0x00EF7ED06A55243F3E6A9D373A89EB14,33,51
0x00EFB72D8E18533F736E86770705D094,9,38
0x00F1A34F176151C4DCBD802C244E1072,6,13
0x00F1BB0AF030935DB1745EE28367EA26,12,21
0x00F1C7C1542F5F86C3091749D9E939D8,7,27
0x00F1CC7439CCB8671133776D1829FAF5,7,10
0x00F251B943ABA645652C7138E4716FEE,7,21
0x00F2A3509BD600BD1A06A48353788D93,4,29
0x00F2C876AA08FBBA04199823952E96C1,11,32
0x00F324F6EC332CD73EF8BE4888573662,18,26
0x00F33EE62C15223679D3550E751C37CD,23,23
0x00F426C7214575822C3CB44EA59EF0F6,12,31
0x00F57F2CCCE2A2E3F393FE8F5E616E0D,8,22
0x00F5FBDC777E8198C1EE008122E28AE3,12,26
0x00F621226C6F4E938348F6F3A71FDC62,7,25
0x00F6AC4816D12F49026B09F2AA77D15F,7,21
0x00F6DBC6195397197EE147EE45607A2C,14,22
0x00F7C5B41250E0126CED62D612FF4711,11,33
0x00F86B368251D739F1896D41469B2B7A,11,14
0x00F8FC0CB9D9B7813F1F54FBD75426F1,11,23
0x00F98EAEDDB9DEBC8DF8CB27E08216D4,3,10
0x00F9B0236A85FB8A06FBD9B9C53FDDD8,10,20
0x00F9B6769C6648AC08BF43081D1F2B07,13,38
0x00FAA6AFCDE74AAA630E1D2FDA2BB0F7,7,21
0x00FB055886536063AFA0DBEE07A0944F,6,26
0x00FB278A99144CC1004B3ED1452FF5E1,4,17
0x00FBCD8B120E5706C58B9D1A0026A7DA,19,20
0x00FC308DD7F0937682698BECAA9DCC45,8,17
0x00FCF938CDE49AE138942B632ED62393,18,28
0x00FDB72E467DA6F3B000B19B368A6CF6,7,31
0x00FE20FC069833AB95021B46D6862646,2,33
0x00FED9E582D5A3E38566872EEC164AC6,13,28
0x010061E3AA0C6ED5E393DDA0652BBEE8,10,13
0x01006620EB4732DEEC44BE4B0D9E33CD,10,24
0x010078E0913F48D014483BD856C01CA1,9,25
0x01015FB6493EA5B9BA105C80B5452DA1,27,20
0x0101AEA69A09E1AA32CAA6DBABA98503,20,53
0x01029B44ABE6E15C8DF48B1B759AB437,7,18
0x0103878B7ED86B6EC873CFAE01379472,6,15
0x01074135A88FFA5978EAADFC7F482F2B,18,25
0x0108C64EC135E4A7A75E9B5102AF9BFA,23,27
0x0108FBA93678555AD1CEC9C267848187,2,14
0x01094E169D4B14EDAF6954EEDDB83633,20,29
0x010A35DC7FC3808A03D243D2FD8C6E35,6,20
0x010AB3B1993057E91F825C672375A66D,10,31
0x010B0F6BD323A9EFFD095A743E660F26,7,12
0x010B143D83A59B355CD5A75C0F0FD785,19,37
0x010C995323BC17D8156FBE2C37FED63E,6,19
0x010D14F76A229C295260E4CA4744ACC7,17,28
0x010D15DEEA8CAE96AE86EA8097917A17,12,32
0x010D6DB2F77220B394F147836C94F27B,10,15
0x010E04B5F879320F29A9BD6CA41ABC94,6,16
0x010E7DDA85FFF564E8B7076AE3928EFB,13,19
0x010EF5B0279D7512E7343CB775E423C0,6,20
0x010EFE60BDADC9261D1902F3C1DDA5F3,8,40
0x010F223DDBEC749E95EF3F5414F9C4EE,10,27
0x010FADB12341D8253D920362FC8F7A16,24,25
0x010FF1CFE12F3094577E72B7BCECDF98,7,28
0x0110688C40FF035D672AF3AAC1F38F10,26,28
0x011080783E02D05B26C8C158B3653A42,8,29
0x011105C3B5B8693EDA1BFB1F152CEC2A,8,32
0x011108C8A3D6EEE6807F48A2E639439F,24,21
0x01115C06246220DEF210911556BDC0E5,20,21
0x011331376A4C6CC7A9E5BC165EC169D0,12,24
0x011375F941B3695C3C3EE58BFE0D3655,13,25
0x0113AFFD907A209209AB08413BB54226,22,28
0x0113C9989FE6E5007795DAEC0633B405,4,22
0x011405AE7B89DEF8FFB3468EB29C299D,4,16
0x01144CADCF64B6427F0A6580A3033220,11,37
0x0114835D7F0B3F674B70A989411E31C1,3,12
0x01156B662F3F47B249B5A8881D205F08,14,20
0x0115ABF6B892040ABFDD5BDFCB6B2C51,24,19
0x0115D160C5FBD758A139FF90821DB60D,18,15
0x0115F8BB1DC16D3FAC863CE1DEB037B6,7,21
0x011667AE100A333A3051C9A23E3F0283,6,19
0x011724D1AFBD91844302627F79A66800,6,13
0x0119E98FEB97441CB456C010C25B04FF,9,30
0x011A43BC9BB525517251EBB3EBC99B69,4,13
0x011A56023FAF5BBB9AF634E20A85F7BC,8,22
0x011ABF147A69BA486BAE3A74B6CD1814,10,24
0x011AF0959EBF2B09A062867811DC63B5,3,23
0x011B142C9E082A5C1D10E0A88CD9C8E8,22,24
0x011B8DD4F8C36FD4FCF50643CE91D58A,27,37
0x011BF86F1B7DACEBDA2C874333CF656B,11,26
0x011C899816EA29773525BD3322DBB6AA,14,23
0x011E6E76DD0CD56D26B5B0CB036E80A8,3,11
0x011F9DFF2545A2CF8AC1809FAED3EC88,8,22
0x011FCB4FABB3E142579AD63472B11227,32,25
0x0120E3DD2696A3BBB68DC2860815F7F2,15,46
0x01218A8A807FC187849529E6F12237A9,10,23
0x0121CFA7C946E6589F50D7012D3EB5EB,7,27
0x012219B6D6D034EB359FC74730A080DB,6,18
0x012248555CB0BF51DF99199CEF81D562,16,29
0x0122E81FF800460E44BB9C983FF2A2FD,11,19
0x0123098B96F3D4014545642BE53D891C,14,22
0x01235DC626DCF13283207BA7F36A959A,12,15
0x01237C761FFB72594A466ED514518AF0,5,20
0x0123A055AA66357326DD6DB066592A7D,4,15
0x0124E0C5BFAE1979838A91E47DF53F14,7,18
0x0124F01177FC17CF20E1974621FD759A,9,20
0x01255808A3D38A8DD69AA93265A4CB88,9,27
0x012670C73246A753CBDE0A215C2B9E8F,41,33
0x0128412231F9FE9D7E944EEA5392FC6B,6,7
0x012973F4CB6743D00D7E2644DDC8804C,9,40
0x012A238AB54294A3B365812CCC82B135,12,27
0x012B3F6AB7776A8AB3443A4AD7BEF2E6,8,28
0x012BEA13F9A355C983EFB59A3F23583A,19,31
0x012D8CBEA490E6102CEE6A2088AAA785,15,35
0x012DC9E42DA722D22E32C618A2521BEC,5,12
0x012E93F8170EB75B2F2F650629D04517,6,28
0x012EA594E035047289B3E7C3F8B90CEF,4,10
0x012EAB2625C5F8AAAC6F37F2C19EF62F,10,23
0x012F255BD5034B8E7FB3C91566A91CC8,3,24
0x012F29911FCD2F1209D937741A6BBC6F,6,20
0x012F2C4CA09B101A73E18957C3294CD6,8,24
0x013037C3F1773CC8FDBAF8FF54D8013B,6,22
0x013056CFE49763C6F66BDA03396C5EE3,17,21
0x01311F2795D8463A11F9422173687696,12,22
0x0132158C30672A8C52997A2492613EC2,2,17
0x0132451F29A10B66A5CF1BACC85F9AFE,8,28
0x0132D77609DD6E1867515EC57D898C10,12,27
0x0132F39E8AD9B42AD2D41C847F44C0ED,1,13
0x0132FEF017CCF586491CA3685DE667DF,1,27
0x01336D091C57D8BE1FECA330C5F047BD,8,29
0x0133A47B53FEE66218790A8D7DCAB993,8,28
0x0135675503322D804ABEF7EC5ED4824B,8,25
0x01358622F65717728B3B2EC2CF4E8812,3,13
0x0136390286BE8A34EFDC801ED150568F,8,25
0x0136BCC7370D7FDF44BD916A6DD583C6,17,16
0x01380D0DF5B7DC8BD13F2266A57BD42C,4,21
0x013A98B3A668BCEF05B98898177F6923,6,37
0x013AA6BA5077072401773F83F1EE6408,21,26
0x013B811BA81339B7634AB5231C547E6A,8,20
0x013BC5CE14F856D31EFC8BEBDC3A278F,8,35
0x013BC77D3CA5FBA084A241FDCB307393,54,33
0x013D92E415D1DE7BF3B3B706F1B6D292,25,35
0x01405161CFDF60DD80DF1F393A2796D5,11,15
0x014176E9538672A32D2A9B73BF53A31F,18,28
0x01422B2C3C27FA3BC464E72EAED9676B,10,24
0x01428962DCE3B65E5433EAEB16C0F48F,17,31
0x0143924743F240E1FDCD6A8918FBE147,3,13
0x014405982914C2CDE2796DDCF0B8703D,5,22
0x01442602B15D4127A84CA6AC1507EE2D,8,23
0x014872CB0C4FC7695C70484966BAA65C,3,29
0x01490A4BDACBAFE6DE009B317A0C8BF6,9,30
0x0149C597DCC0963D7315F904495B631C,4,15
0x014A0793AB3D930D6F3B206CEE474AF4,3,39
0x014AC3CFD0E55BDC2CDD12AA181B00CB,8,18
0x014BD8CA0827935402AC39F2751B2FCD,7,19
0x014E36AF18C280A94D880A16B2F00713,7,21
0x014E78D1239F19FDCAFD760D3E52F923,41,31
0x014E7D12255FC66B5EA5E6C93EB4BE7B,21,26
0x014F1E63F9BD4F5578EDCF4E5C305A0A,8,31
0x014FC889637133D9075190BA873DFC03,6,15
0x014FFBFE2DF4C96A2B063D084583978F,14,25
0x0150004D4D8EB63F9948DE164DA34E34,8,23
